season,week,home_team,away_team,home_conference,away_conference,home_score,away_score,spread,over_under,home_moneyline,away_moneyline,actual_margin,total_points,home_covered,over_hit,spread_error,spread_group
2020,6,North Texas,Charlotte,Conference USA,Conference USA,21,49,3.0,66.0,,,-28,70,False,True,-31.0,Small Home Underdog
2020,6,Syracuse,Duke,ACC,ACC,24,38,2.5,52.5,,,-14,62,False,True,-16.5,Small Home Underdog
2020,6,BYU,UTSA,FBS Independents,Conference USA,27,20,-34.0,63.0,,,7,47,True,False,41.0,Big Home Favorite
2020,6,TCU,Kansas State,Big 12,Big 12,14,21,-11.0,49.5,,,-7,35,True,False,4.0,Small Home Favorite
2020,6,Texas A&M,Florida,SEC,SEC,41,38,6.0,59.5,,,3,79,False,True,-3.0,Small Home Underdog
2020,6,Notre Dame,Florida State,FBS Independents,ACC,42,26,-20.5,53.5,,,16,68,True,True,36.5,Big Home Favorite
2020,6,Auburn,Arkansas,SEC,SEC,30,28,-13.5,46.0,,,2,58,True,True,15.5,Small Home Favorite
2020,6,Virginia,NC State,ACC,ACC,21,38,-7.0,58.5,,,-17,59,False,True,-10.0,Small Home Favorite
2020,6,Louisiana Tech,UTEP,Conference USA,Conference USA,21,17,-14.5,55.5,,,4,38,True,False,18.5,Big Home Favorite
2020,6,Western Kentucky,Marshall,Conference USA,Conference USA,14,38,6.5,43.0,,,-24,52,False,True,-30.5,Small Home Underdog
2020,7,UAB,Western Kentucky,Conference USA,Conference USA,37,14,-11.5,44.0,,,23,51,True,True,34.5,Small Home Favorite
2020,8,UTSA,Louisiana Tech,Conference USA,Conference USA,27,26,2.5,54.0,,,1,53,False,False,-1.5,Small Home Underdog
2020,9,Georgia Southern,South Alabama,Sun Belt,Sun Belt,24,17,-3.5,52.0,,,7,41,True,False,10.5,Small Home Favorite
2020,9,Georgia State,Coastal Carolina,Sun Belt,Sun Belt,0,51,3.5,60.5,,,-51,51,False,False,-54.5,Small Home Underdog
2020,10,Notre Dame,Clemson,FBS Independents,ACC,47,40,5.0,50.5,,,7,87,True,True,2.0,Small Home Underdog
2020,10,Marshall,Massachusetts,Conference USA,FBS Independents,51,10,-44.5,55.5,,,41,61,True,True,85.5,Big Home Favorite
2020,11,Tulsa,SMU,American Athletic,American Athletic,28,24,2.0,64.5,,,4,52,True,False,2.0,Small Home Underdog
2020,12,NC State,Liberty,ACC,FBS Independents,15,14,-4.0,66.5,,,1,29,True,False,5.0,Small Home Favorite
2020,12,Auburn,Tennessee,SEC,SEC,30,17,-10.5,50.5,,,13,47,True,False,23.5,Small Home Favorite
2020,12,Texas State,Arkansas State,Sun Belt,Sun Belt,47,45,4.5,69.0,,,2,92,False,True,-2.5,Small Home Underdog
2020,12,Army,Georgia Southern,FBS Independents,Sun Belt,28,27,-3.5,38.5,,,1,55,True,True,4.5,Small Home Favorite
2020,12,Memphis,Stephen F. Austin,American Athletic,Southland,56,14,-31.0,61.0,,,42,70,True,True,73.0,Big Home Favorite
2020,12,Western Kentucky,Florida International,Conference USA,Conference USA,38,21,-7.0,42.0,,,17,59,True,True,24.0,Small Home Favorite
2020,7,South Alabama,Texas State,Sun Belt,Sun Belt,30,20,-5.0,57.5,,,10,50,True,False,15.0,Small Home Favorite
2020,7,UTSA,Army,Conference USA,FBS Independents,16,28,8.5,46.5,,,-12,44,False,False,-20.5,Small Home Underdog
2020,14,Purdue,Nebraska,Big Ten,Big Ten,27,37,-1.0,64.0,,,-10,64,False,False,-9.0,Small Home Favorite
2020,14,Rutgers,Penn State,Big Ten,Big Ten,7,23,13.0,51.0,,,-16,30,False,False,-29.0,Small Home Underdog
2020,7,Arkansas State,Georgia State,Sun Belt,Sun Belt,59,52,-3.5,72.5,,,7,111,True,True,10.5,Small Home Favorite
2020,7,Houston,BYU,American Athletic,FBS Independents,26,43,3.0,62.5,,,-17,69,False,True,-20.0,Small Home Underdog
2020,7,Georgia Tech,Clemson,ACC,ACC,7,73,26.5,64.5,,,-66,80,False,True,-92.5,Big Home Underdog
2020,7,Notre Dame,Louisville,FBS Independents,ACC,12,7,-15.5,62.0,,,5,19,True,False,20.5,Big Home Favorite
2020,7,Florida State,North Carolina,ACC,ACC,31,28,13.5,64.5,,,3,59,False,False,-10.5,Small Home Underdog
2020,7,Mississippi State,Texas A&M,SEC,SEC,14,28,4.5,55.5,,,-14,42,False,False,-18.5,Small Home Underdog
2020,7,Miami,Pittsburgh,ACC,ACC,31,19,-11.5,47.0,,,12,50,True,True,23.5,Small Home Favorite
2020,7,South Carolina,Auburn,SEC,SEC,30,22,2.5,53.5,,,8,52,True,False,5.5,Small Home Underdog
2020,7,Tennessee,Kentucky,SEC,SEC,7,34,-6.5,45.5,,,-27,41,False,False,-20.5,Small Home Favorite
2020,7,Virginia Tech,Boston College,ACC,ACC,40,14,-13.0,61.5,,,26,54,True,False,39.0,Small Home Favorite
2020,7,Temple,South Florida,American Athletic,American Athletic,39,37,-14.0,52.5,,,2,76,True,True,16.0,Big Home Favorite
2020,7,East Carolina,Navy,American Athletic,American Athletic,23,27,3.5,55.5,,,-4,50,False,False,-7.5,Small Home Underdog
2020,7,NC State,Duke,ACC,ACC,31,20,-3.5,59.5,,,11,51,True,False,14.5,Small Home Favorite
2020,7,Arkansas,Ole Miss,SEC,SEC,33,21,-1.0,77.5,,,12,54,True,False,13.0,Small Home Favorite
2020,7,Wake Forest,Virginia,ACC,ACC,40,23,-2.5,57.0,,,17,63,True,True,19.5,Small Home Favorite
2020,7,Middle Tennessee,North Texas,Conference USA,Conference USA,35,52,-3.5,72.0,,,-17,87,False,True,-13.5,Small Home Favorite
2020,8,App State,Arkansas State,Sun Belt,Sun Belt,45,17,-13.5,69.5,,,28,62,True,False,41.5,Small Home Favorite
2020,8,Texas,Baylor,Big 12,Big 12,27,16,-11.0,61.5,,,11,43,True,False,22.0,Small Home Favorite
